" ","Unique","Missing Pct.","Mean","SD","Min","Median","Max"
"imports_other_countries","2880","70","628787.7","696389.8","0.0","261481.0","3219859.0"
"exports_all_countries","3001","70","6216363.2","5233463.0","19138.0","4980988.0","19125376.0"
"exports_united_states","3001","70","5025350.5","4549784.6","15964.0","3982292.0","16360740.0"
"exports_china","2866","70","150115.2","149579.3","0.0","97168.0","1108232.0"
"exports_mexico","2567","70","63212.8","68767.1","0.0","38757.0","339859.0"
"exports_united_kingdom","2875","70","187666.7","358294.9","0.0","31409.0","2435599.0"
"exports_japan","2941","70","123325.7","114240.0","15.0","91842.0","621924.0"
"exports_germany","2759","70","49560.8","55778.0","0.0","26947.0","517901.0"
"exports_south_korea","2743","70","46896.1","53235.2","0.0","34744.0","376881.0"
"exports_italy","2629","70","27059.6","30655.0","0.0","19041.0","327322.0"
"exports_france","2754","70","35662.0","39355.9","0.0","15581.0","245450.0"
"exports_netherlands","2673","70","37505.3","36112.0","0.0","28611.0","277643.0"
"exports_belgium","2638","70","21041.4","19611.7","0.0","15960.0","175197.0"
"exports_spain","2459","70","13484.2","20095.1","0.0","6605.0","189610.0"
"exports_hong_kong","2466","70","32595.6","70326.9","0.0","13906.0","723937.0"
"exports_brazil","2490","70","19295.2","21084.0","0.0","13848.0","205536.0"
"exports_algeria","1434","70","3822.6","8607.1","0.0","843.0","122535.0"
"exports_norway","1894","70","32642.4","66793.8","0.0","2478.0","419629.0"
"exports_india","2534","70","20946.8","29204.4","0.0","10274.0","378286.0"
"exports_switzerland","1906","70","17086.5","34582.3","0.0","4784.0","321362.0"
"exports_saudi_arabia","1976","70","14685.6","38641.5","0.0","4928.0","501078.0"
"exports_turkiye","2023","70","8560.9","12986.2","0.0","3891.0","129653.0"
"exports_taiwan","2571","70","18295.3","17495.5","0.0","14390.0","178669.0"
"exports_peru","1952","70","4951.3","6125.1","0.0","3234.0","71147.0"
"exports_australia","2592","70","21943.6","19132.5","0.0","18550.0","152476.0"
"exports_iraq","921","70","1610.8","4694.1","0.0","109.0","62836.0"
"exports_indonesia","2351","70","11777.0","13550.3","0.0","8128.0","125843.0"
"exports_singapore","2028","70","10862.0","12001.0","0.0","7992.0","133465.0"
"exports_russian_federation","2062","70","9947.9","12256.5","0.0","6042.0","108448.0"
"exports_other_countries","2977","70","206459.6","152219.2","849.0","181234.0","823543.0"
"new_housing_price_index","827","60","75.8","23.3","26.4","79.1","135.3"
"business_bankruptcies","391","61","108.8","110.0","0.0","76.0","529.0"
"business_insolvencies","429","61","125.6","122.2","0.0","89.0","588.0"
"total_bankruptcies","1457","61","1110.1","971.5","0.0","740.0","5242.0"
"total_insolvencies","1611","61","1549.6","1371.6","0.0","961.0","7085.0"
"periods","1788","0","-627.0","530.4","-1723.0","-464.0","64.0"
"ln_patents_filed","105","0","1.1","1.2","0.0","0.7","4.8"
"ln_patents_granted","155","0","1.5","1.6","0.0","0.7","5.5"
"ln_patents_filed_1","105","0","1.1","1.2","0.0","0.7","4.8"
"ln_patents_granted_1","155","0","1.5","1.6","0.0","0.7","5.5"
"patent_parties","787","46","252.8","318.2","1.0","109.0","1837.0"
"inventors","434","47","97.2","121.7","1.0","42.0","746.0"
"owners","466","46","109.0","142.5","1.0","55.0","914.0"
"applicants","252","63","71.1","67.1","1.0","55.0","293.0"
"ln_foreign_parties","118","0","","","","","5.3"
"ln_foreign_parties_1","118","0","0.7","1.1","0.0","0.0","5.3"
"ln_parties","787","46","4.4","1.9","0.0","4.7","7.5"
"ln_parties_1","787","46","4.4","1.8","0.7","4.7","7.5"
"ln_inventors","434","47","3.4","1.8","0.0","3.7","6.6"
"ln_inventors_1","434","47","3.5","1.7","0.7","3.8","6.6"
"ln_owners","466","46","3.6","1.7","0.0","4.0","6.8"
"ln_owners_1","466","46","3.7","1.6","0.7","4.0","6.8"
"ln_applicants","252","63","3.5","1.5","0.0","4.0","5.7"
"ln_applicants_1","252","63","3.6","1.4","0.7","4.0","5.7"
"emp_patenting_ind","4409","54","1394.9","1151.3","16.2","993.2","3780.6"
"wages_paid_patenting_ind","2461","70","1337.6","1060.7","21.7","893.0","3334.0"
