month_year,province_code,total_pop,total_emp,emp_males,emp_females,total_full_emp,total_part_emp,total_unem,total_emp_rate,total_wage,total_wage_males,total_wage_females,total_avg_wage,avg_wage_males,avg_wage_females,total_median_wage,median_wage_males,median_wage_females,total_hours,total_average_hours,average_hours_males,average_hours_females,ei_claims,cpi,retail_sales,wholesale_sales,manufacturing_sales,food_services_receipts,travellers,vehicles,electric_power_generation,value,international_merchandise_imports,new_housing_price_index
1976-03-01,NL,368.9,161.7,111.8,49.9,149.6,12.1,22.6,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5969.8,40.7,43.2,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-03-01,NS,585.7,301.3,191.6,109.7,265.6,35.7,24.9,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11220.8,39.3,42.7,33.6,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA
1976-03-01,ON,6161.7,3728.4,2287.3,1441.1,3233.9,494.5,235.9,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,138867.9,38.1,41.1,33.5,NA,NA,NA,NA,NA,NA,NA,945579,NA,NA,NA,NA
1976-03-01,PE,82.4,43.5,26.8,16.8,37.4,6.1,4.1,52.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1600.9,40,43.8,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-03-01,QC,4713.1,2545.3,1659.5,885.8,2322.9,222.5,216.4,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,96287.7,39,41.5,34.6,NA,NA,NA,NA,NA,NA,NA,183333,NA,NA,NA,NA
1976-03-01,SK,651.4,371.8,241.5,130.3,316.6,55.2,13.9,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14100.3,39.5,43.3,32.5,NA,NA,NA,NA,NA,NA,NA,16266,NA,NA,NA,NA
1976-04-01,AB,1301.5,846.2,527.3,318.8,719.3,126.9,30.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,33103.3,39.8,44.1,33,NA,NA,NA,NA,NA,NA,NA,25798,NA,NA,NA,NA
1976-04-01,BC,1865.4,1048.6,658.5,390,891,157.6,101.1,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,38476.5,37.3,40.3,32.3,NA,NA,NA,NA,NA,NA,NA,302019,NA,NA,NA,NA
1976-04-01,MB,735.5,435.3,268.3,166.9,375.5,59.8,18.2,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,16560.2,38.8,42.2,33.4,NA,NA,NA,NA,NA,NA,NA,58755,NA,NA,NA,NA
1976-04-01,NB,479.7,233,150.1,82.9,208.9,24.2,26.9,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8435.6,38.9,42.1,33.4,NA,NA,NA,NA,NA,NA,NA,302443,NA,NA,NA,NA
1976-04-01,NL,369.4,161.3,111.3,50,150.7,10.6,25,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6213.2,41.7,44,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-04-01,NS,586.8,302.7,192.6,110.1,266.2,36.5,27,51.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,11501.7,39.5,42.8,33.8,NA,NA,NA,NA,NA,NA,NA,586,NA,NA,NA,NA
1976-04-01,ON,6174.6,3735.7,2303.7,1432,3234.7,501,232.3,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,140050.1,38.2,41.4,33.2,NA,NA,NA,NA,NA,NA,NA,1084309,NA,NA,NA,NA
1976-04-01,PE,82.5,42.9,26.8,16.1,37.7,5.2,4.1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1601.5,40.5,44.6,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-04-01,QC,4721.1,2552,1660.8,891.3,2331.2,220.8,234.6,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,97433.6,39.2,41.8,34.4,NA,NA,NA,NA,NA,NA,NA,221911,NA,NA,NA,NA
1976-04-01,SK,653,380.6,245.8,134.7,325,55.6,13.7,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,15171.8,41,45.6,32.5,NA,NA,NA,NA,NA,NA,NA,21872,NA,NA,NA,NA
1976-05-01,AB,1309.8,849.5,532.4,317,724.9,124.5,37.2,64.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,35044.5,41,45.6,33.3,NA,NA,NA,NA,NA,NA,NA,34491,NA,NA,NA,NA
1976-05-01,BC,1869.8,1048.3,656.6,391.8,902.9,145.5,103.8,56.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,39625.6,37.5,40.6,32.5,NA,NA,NA,NA,NA,NA,NA,337440,NA,NA,NA,NA
1976-05-01,MB,736.3,432.3,268,164.4,369.1,63.2,20.1,58.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,17322.1,39.6,43.4,33.4,NA,NA,NA,NA,NA,NA,NA,70997,NA,NA,NA,NA
1976-05-01,NB,480.6,230.6,147.8,82.9,205.1,25.5,28.3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,8998.8,39.1,41.9,34.2,NA,NA,NA,NA,NA,NA,NA,341916,NA,NA,NA,NA
1976-05-01,NL,369.9,160.6,110.9,49.7,149.2,11.4,24.6,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6761,41.9,44.1,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-05-01,NS,588.1,298,191.3,106.8,260.3,37.8,27.9,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,11944.6,39.9,43.2,33.9,NA,NA,NA,NA,NA,NA,NA,1645,NA,NA,NA,NA
1976-05-01,ON,6187.3,3734.2,2296.4,1437.9,3226.9,507.3,231.7,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,143478.7,38.3,41.4,33.4,NA,NA,NA,NA,NA,NA,NA,1249656,NA,NA,NA,NA
1976-05-01,PE,82.6,42.8,27,15.8,37.1,5.7,4.1,51.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1809.6,41.2,45,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-05-01,QC,4729.1,2547.6,1648.7,898.9,2329.6,218,228.7,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,100254.9,39.3,41.8,34.6,NA,NA,NA,NA,NA,NA,NA,267475,NA,NA,NA,NA
1976-05-01,SK,654.6,382,246.9,135.1,324.6,57.4,13.7,58.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,17024,43.8,49.7,33.2,NA,NA,NA,NA,NA,NA,NA,24120,NA,NA,NA,NA
1976-06-01,AB,1318,854,534.4,319.6,733.6,120.5,34.1,64.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,35757.3,41,45.1,34,NA,NA,NA,NA,NA,NA,NA,43125,NA,NA,NA,NA
1976-06-01,BC,1874,1053,657.6,395.4,891.7,161.2,98.6,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,40703.6,37.8,40.9,32.7,NA,NA,NA,NA,NA,NA,NA,355541,NA,NA,NA,NA
1976-06-01,MB,737.2,435.5,267.9,167.6,372,63.5,20.1,59.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17670.5,39.7,43.3,34,NA,NA,NA,NA,NA,NA,NA,84949,NA,NA,NA,NA
1976-06-01,NB,481.7,231.4,148.5,82.9,206.6,24.8,28.5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,9718.2,39.7,42.4,34.8,NA,NA,NA,NA,NA,NA,NA,366862,NA,NA,NA,NA
1976-06-01,NL,370.5,158.9,107.6,51.3,146.2,12.7,23.6,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,7376.1,42.4,45,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-06-01,NS,589.3,294.9,187,108,254.3,40.6,31.2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,12206,39.9,43.3,33.7,NA,NA,NA,NA,NA,NA,NA,4704,NA,NA,NA,NA
1976-06-01,ON,6200,3745.2,2305,1440.2,3221.9,523.3,231.4,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,148540.8,38.7,41.7,33.9,NA,NA,NA,NA,NA,NA,NA,1383615,NA,NA,NA,NA
1976-06-01,PE,82.8,41.9,26.6,15.3,36,5.9,4.5,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915.1,41.5,44.9,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-06-01,QC,4737.2,2549.4,1644.7,904.7,2329.9,219.6,232.9,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,103702,39.4,41.7,35.2,NA,NA,NA,NA,NA,NA,NA,305696,NA,NA,NA,NA
1976-06-01,SK,656.2,384,247.5,136.5,326.9,57.1,16.2,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17138.9,43.2,48.5,33.7,NA,NA,NA,NA,NA,NA,NA,27945,NA,NA,NA,NA
1976-07-01,AB,1326.3,858.5,534.9,323.6,739.6,118.9,32.6,64.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,37570.4,42.2,46.2,35.3,NA,NA,NA,NA,NA,NA,NA,73224,NA,NA,NA,NA
1976-07-01,BC,1878.4,1068.1,669.4,398.8,891.5,176.7,104.5,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,42204.4,38,40.8,33.2,NA,NA,NA,NA,NA,NA,NA,474347,NA,NA,NA,NA
1976-07-01,MB,738,437.8,269.5,168.3,373.8,64.1,21.3,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,18504.8,40.6,44.2,34.9,NA,NA,NA,NA,NA,NA,NA,123387,NA,NA,NA,NA
1976-07-01,NB,482.6,230,147.5,82.5,204.2,25.8,27.5,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10003.9,40,42.5,35.2,NA,NA,NA,NA,NA,NA,NA,448077,NA,NA,NA,NA
1976-07-01,NL,371.1,155.7,106.4,49.3,143.3,12.4,26.4,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,7633.2,43.4,46.3,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-07-01,NS,590.5,294.2,188.8,105.5,258.5,35.7,31.9,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12822.4,40.8,43.9,35.1,NA,NA,NA,NA,NA,NA,NA,10599,NA,NA,NA,NA
